"COU","Country","SER","Service","EXP","Expression","MEASURE","Measure","PAR","Partner","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CMR","Cameroon","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","COD","Democratic Republic of the Congo","2014","2014","USD","US Dollar","6","Millions",,,1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CIV","Côte d’Ivoire","2014","2014","USD","US Dollar","6","Millions",,,1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","EGY","Egypt","2014","2014","USD","US Dollar","6","Millions",,,-27.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ETH","Ethiopia","2014","2014","USD","US Dollar","6","Millions",,,-10.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GAB","Gabon","2014","2014","USD","US Dollar","6","Millions",,,-6.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GHA","Ghana","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","KEN","Kenya","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LBR","Liberia","2014","2014","USD","US Dollar","6","Millions",,,-65.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LBY","Libya","2014","2014","USD","US Dollar","6","Millions",,,6.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MUS","Mauritius","2014","2014","USD","US Dollar","6","Millions",,,-10.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MOZ","Mozambique","2014","2014","USD","US Dollar","6","Millions",,,-4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","NGA","Nigeria","2014","2014","USD","US Dollar","6","Millions",,,25.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SEN","Senegal","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SLE","Sierra Leone","2014","2014","USD","US Dollar","6","Millions",,,-12,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ZAF","South Africa","2014","2014","USD","US Dollar","6","Millions",,,-183.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SSD","South Sudan","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SDN","Sudan","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","TZA","Tanzania","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ZWE","Zimbabwe","2014","2014","USD","US Dollar","6","Millions",,,1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BHS","Bahamas","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BRB","Barbados","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BLZ","Belize","2014","2014","USD","US Dollar","6","Millions",,,10.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BMU","Bermuda","2014","2014","USD","US Dollar","6","Millions",,,23.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CYM","Cayman Islands","2014","2014","USD","US Dollar","6","Millions",,,18.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CRI","Costa Rica","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CUB","Cuba","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CUW","Curaçao","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","DOM","Dominican Republic","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SLV","El Salvador","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GRD","Grenada","2014","2014","USD","US Dollar","6","Millions",,,4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GTM","Guatemala","2014","2014","USD","US Dollar","6","Millions",,,4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","HTI","Haiti","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","JAM","Jamaica","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PAN","Panama","2014","2014","USD","US Dollar","6","Millions",,,-17.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","VGB","British Virgin Islands","2014","2014","USD","US Dollar","6","Millions",,,143.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","AMERS","South America","2014","2014","USD","US Dollar","6","Millions",,,-22.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ARG","Argentina","2014","2014","USD","US Dollar","6","Millions",,,-19.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BOL","Bolivia","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BRA","Brazil","2014","2014","USD","US Dollar","6","Millions",,,-42.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","COL","Colombia","2014","2014","USD","US Dollar","6","Millions",,,-4,,
