country1,country2,value
albania,costarica,35
albania,croatia,50
albania,cuba,30
albania,cyprus,45
albania,czechrep,46
albania,denmark,49
albania,djibouti,31
albania,domrepublic,35
albania,dominica,30
albania,etimor,21
albania,ecuador,37
albania,egypt,41
albania,elsalvador,29
albania,eqguinea,26
albania,eritrea,24
albania,estonia,44
albania,ethiopia,27
albania,fyromacedonia,45
albania,fiji,31
albania,finland,49
albania,france,52
albania,gabon,36
albania,gambia,34
albania,georgia,43
albania,germany,46
albania,ghana,34
albania,greece,52
albania,grenada,27
albania,guatemala,33
albania,guinea,36
albania,guineabissau,30
albania,guyana,33
albania,haiti,34
albania,honduras,32
albania,hungary,47
albania,iceland,43
albania,india,36
albania,indonesia,33
albania,iran,35
albania,iraq,32
albania,ireland,45
albania,israel,42
albania,italy,51
albania,ivorycoast,38
albania,jamaica,31
albania,japan,39
albania,jordan,43
albania,kazakhstan,36
albania,kenya,37
albania,kiribati,16
albania,kosovo,5
albania,kuwait,33
albania,kyrgyzstan,34
albania,laos,31
albania,latvia,43
albania,lebanon,37
albania,lesotho,29
albania,liberia,28
albania,libya,34
albania,liechtenstein,19
albania,lithuania,46
albania,luxembourg,47
albania,madagascar,36
albania,malawi,31
albania,malaysia,37
albania,maldives,31
albania,mali,33
albania,malta,45
albania,marshallis,20
albania,mauritania,38
albania,mauritius,38
albania,mexico,37
albania,micronesiafs,15
albania,moldova,43
albania,monaco,33
albania,mongolia,35
albania,morocco,45
albania,montenegro,44
albania,mozambique,35
albania,myanmar,26
albania,namibia,34
albania,nauru,13
albania,nepal,30
albania,netherlands,49
albania,newzealand,37
albania,nicaragua,35
albania,niger,33
albania,nigeria,37
albania,nokorea,19
albania,norway,50
albania,oman,34
albania,pakistan,38
albania,palau,15
albania,panama,36
albania,papuanewguinea,29
albania,paraguay,33
albania,peru,36
albania,philippines,36
albania,poland,49
albania,portugal,49
albania,qatar,34
albania,romania,54
albania,russia,42
albania,rwanda,32
albania,sanmarino,22
albania,saotome,26
albania,saudiarabia,36
albania,senegal,40
albania,seychelles,35
albania,sierraleone,35
albania,singapore,28
albania,slovakia,46
albania,slovenia,48
albania,soafrica,38
albania,sokorea,39
albania,sosudan,18
albania,solomonis,20
albania,somalia,25
albania,spain,49
albania,srilanka,35
albania,stkitts,25
albania,stlucia,28
albania,stvincent,25
albania,sudan,35
albania,suriname,31
albania,swaziland,31
albania,sweden,48
albania,switzerland,51
albania,syria,33
albania,taiwan,3
albania,tajikistan,32
albania,tanzania,34
albania,thailand,33
albania,togo,38
albania,tonga,24
albania,trinidad,34
albania,tunisia,47
albania,turkey,51
albania,turkmenistan,31
albania,tuvalu,19
albania,uae,34
albania,uk,49
albania,usa,35
albania,uganda,34
albania,ukraine,43
albania,uruguay,37
albania,uzbekistan,32
albania,vanuatu,28
albania,venezuela,35
albania,vietnam,32
albania,wsamoa,23
albania,yemen,33
albania,yugoslaviaserb,52
albania,zaire,33
albania,zambia,33
albania,zimbabwe,30
algeria,afghanistan,28
algeria,albania,41
algeria,andorra,15
algeria,angola,53
algeria,antiguabarbuda,28
algeria,argentina,54
algeria,armenia,32
algeria,australia,43
algeria,austria,49
algeria,azerbaijan,36
algeria,bahamas,36
algeria,bahrain,56
algeria,bangladesh,40
algeria,barbados,30
algeria,belarus,30
algeria,belgium,53
algeria,belize,34
algeria,benin,59
algeria,bhutan,24
algeria,bolivia,34
algeria,bosnia,37
algeria,botswana,48
algeria,brazil,49
algeria,brunei,30
algeria,bulgaria,43
algeria,burkinafaso,58
algeria,burundi,51
algeria,car,48
algeria,cambodia,33
algeria,cameroon,64
algeria,canada,47
algeria,capeverde,49
algeria,chad,54
algeria,chile,41
algeria,china,50
algeria,colombia,44
algeria,comoros,57
algeria,congobrazz,56
algeria,costarica,37
algeria,croatia,43
algeria,cuba,36
algeria,cyprus,42
algeria,czechrep,38
algeria,denmark,51
algeria,djibouti,61
algeria,domrepublic,36
algeria,dominica,28
algeria,etimor,21
algeria,ecuador,38
algeria,egypt,88
algeria,elsalvador,31
algeria,eqguinea,37
algeria,eritrea,42
algeria,estonia,36
algeria,ethiopia,48
algeria,fyromacedonia,31
algeria,fiji,31
algeria,finland,54
algeria,france,54
algeria,gabon,60
algeria,gambia,54
algeria,georgia,36
algeria,germany,52
algeria,ghana,59
algeria,greece,47
algeria,grenada,28
algeria,guatemala,36
algeria,guinea,58
algeria,guineabissau,49
algeria,guyana,33
algeria,haiti,35
algeria,honduras,35
algeria,hungary,41
algeria,iceland,36
algeria,india,53
algeria,indonesia,44
algeria,iran,42
algeria,iraq,56
algeria,ireland,41
algeria,israel,45
algeria,italy,55
algeria,ivorycoast,61
algeria,jamaica,36
algeria,japan,50
algeria,jordan,60
algeria,kazakhstan,36
algeria,kenya,59
algeria,kiribati,17
algeria,kosovo,4
algeria,kuwait,64
algeria,kyrgyzstan,30
algeria,laos,31
algeria,latvia,35
algeria,lebanon,60
algeria,lesotho,50
algeria,liberia,49
algeria,libya,74
algeria,liechtenstein,12
algeria,lithuania,36
algeria,luxembourg,47
algeria,madagascar,55
algeria,malawi,51
algeria,malaysia,44
algeria,maldives,32
algeria,mali,54
algeria,malta,41
algeria,marshallis,21
algeria,mauritania,80
algeria,mauritius,56
algeria,mexico,42
algeria,micronesiafs,16
algeria,moldova,34
algeria,monaco,29
algeria,mongolia,37
algeria,morocco,88
algeria,montenegro,36
algeria,mozambique,59
algeria,myanmar,31
algeria,namibia,54
algeria,nauru,13
algeria,nepal,34
algeria,netherlands,53
algeria,newzealand,40
algeria,nicaragua,37
algeria,niger,55
