Country,Partner,Value
belgium,china,349.4
denmark,honduras,3.3
estonia,dominicanrepublic,0.9
france,israel,183.3
belgium,syria,4.0
denmark,stkitts,3.6
finland,oman,2.7
belgium,iraq,4.0
germany,marshallislands,5.3
france,tunisia,1792.1
denmark,malaysia,31.2
czechia,spain,498.8
france,mauritania,12.0
czechia,argentina,3.7
denmark,rwanda,0.5
germany,burundi,2.7
belgium,tajikistan,1.3
denmark,spain,2368.5
czechia,netherlands,316.9
finland,china,53.1
denmark,singapore,12.1
belgium,denmark,527.5
finland,azerbaijan,19.9
denmark,pakistan,75.6
germany,vietnam,187.3
france,argentina,337.4
denmark,lesotho,0.1
czechia,uae,4.2
estonia,iraq,0.1
czechia,turkmenistan,1.2
germany,greece,7009.6
czechia,marshallislands,0.0
germany,sourthkorea,23.9
finland,india,245.8
denmark,cyprus,29.6
germany,benin,8.0
denmark,liechtenstein,13.7
belgium,malta,4.0
czechia,slovenia,38.8
france,ivorycoast,333.5
estonia,slovakia,1.1
belgium,algeria,38.5
belgium,barbados,37.2
estonia,luxembourg,92.2
germany,chile,203.3
estonia,bulgaria,1.1
france,kuwait,305.6
france,romania,1331.2
germany,uae,1146.5
belgium,vietnam,62.4
czechia,burundi,0.5
denmark,zambia,1.1
france,armenia,15.9
france,elsalvador,9.3
france,finland,182.0
germany,lebanon,2.7
estonia,tajikistan,0.3
finland,turkmenistan,1.3
czechia,malaysia,26.8
belgium,thailand,147.5
denmark,cameroon,19.3
germany,switzerland,12373.7
finland,marshallislands,9.3
belgium,northkorea,237.8
czechia,india,69.5
estonia,china,4.3
belgium,bosnia,5.3
finland,uae,34.5
finland,mexico,130.2
germany,libya,77.1
belgium,greece,949.4
denmark,armenia,2.1
finland,slovenia,13.6
denmark,ivorycoast,19.3
belgium,guinea,8.0
france,mauritius,401.2
belgium,portugal,631.1
germany,norway,744.0
belgium,egypt,94.3
denmark,elsalvador,6.9
belgium,montenegro,4.0
denmark,suriname,0.4
czechia,senegal,0.1
